year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1813,CANADA,1,25.8882,-3.395444444,2.991
1813,FRANCE,559,53.80295,12.11275,3.2021666669999997
1813,GERMANY,243,45.8291,7.682833333,3.35625
1813,POLAND,104,44.80265,7.112583333,3.400833333
1813,UNITED KINGDOM,10201,46.71035,8.172416667,3.1710833330000003
1813,UNITED STATES,142,49.854,9.918888889,2.8855555560000004
1814,CANADA,1,14.3192,-9.822666667,3.0413333330000003
1814,FRANCE,571,52.93085,11.62825,3.307666667
1814,GERMANY,241,44.258,6.81,3.53225
1814,POLAND,137,43.1291,6.182833333,3.54775
1814,UNITED KINGDOM,10395,44.951,7.195,3.344666667
1814,UNITED STATES,153,38.8118,3.784333333,3.639
1815,CANADA,1,20.4629,-6.4095,2.867916667
1815,FRANCE,639,54.08195,12.26775,3.2335
1815,GERMANY,281,45.73745,7.6319166670000005,3.3560000000000003
1815,POLAND,161,43.80245,6.556916667,3.40625
1815,UNITED KINGDOM,10623,46.33265,7.9625833329999995,3.439833333
1815,UNITED STATES,164,45.5024,7.501333333,2.696333333
1816,CANADA,1,12.247475,-10.973625,2.972625
1816,FRANCE,682,52.31825,11.28791667,3.36975
1816,GERMANY,651,44.1758,6.764333333,3.5885
1816,POLAND,185,43.8641,6.591166667,3.5990833330000003
1816,UNITED KINGDOM,11309,44.67245,7.04025,3.4954166669999998
1816,UNITED STATES,181,39.913925,4.396625,3.108875
1817,CANADA,1,20.0666,-6.629666667,2.733666667
1817,FRANCE,726,54.1616,12.312000000000001,2.7033333330000002
1817,GERMANY,923,46.30835,7.949083333,3.008333333
1817,POLAND,203,45.44615,7.470083333,3.05025
1817,UNITED KINGDOM,11442,46.1861,7.8811666670000005,2.98975
1817,UNITED STATES,196,45.01385,7.229916667,2.6125
1818,CANADA,1,17.61242,-7.9931,2.7119999999999997
1818,FRANCE,650,55.24985,12.91658333,3.4579166669999997
1818,GERMANY,964,46.9055,8.280833333,3.78925
1818,POLAND,252,45.56465,7.535916667,3.699583333
1818,UNITED KINGDOM,11469,47.7395,8.744166667,3.523583333
1818,UNITED STATES,213,43.29446,6.2747,2.8672
1819,AUSTRIA,69,43.6865,6.4925,2.59025
1819,CANADA,1,-8.7088,-22.616,3.1756666669999998
1819,FRANCE,698,54.82265,12.67925,2.588916667
1819,GERMANY,894,47.4554,8.586333332999999,2.698583333
1819,POLAND,207,46.1027,7.834833333,2.6615833330000003
1819,UNITED KINGDOM,11555,47.0414,8.356333333,2.6823333330000003
1819,UNITED STATES,208,27.0056,-2.774666667,3.543
1820,AUSTRIA,91,42.0797,5.599833332999999,2.649833333
1820,CANADA,1,20.891,-6.171666667,3.35125
1820,FRANCE,792,53.7962,12.109000000000002,2.628583333
1820,GERMANY,923,44.92175,7.17875,2.637666667
1820,POLAND,204,44.0555,6.6975,2.766916667
1820,UNITED KINGDOM,11607,46.09475,7.830416667000001,2.529666667
1820,UNITED STATES,216,45.6149,7.563833333,2.291083333
1821,AUSTRIA,98,42.93155,6.073083333,2.4565
1821,CANADA,1,21.9914,-5.560333332999999,3.2465833330000002
1821,FRANCE,822,55.16045,12.86691667,2.465666667
1821,GERMANY,964,46.78805,8.215583333,2.5645833330000003
1821,POLAND,226,45.48425,7.49125,2.54325
1821,UNITED KINGDOM,11701,47.64905,8.693916667,2.47975
1821,UNITED STATES,226,46.40735,8.004083332999999,2.53275
1822,AUSTRIA,100,45.37115,7.4284166670000005,2.13775
1822,CANADA,1,21.5237,-5.8201666670000005,3.056333333
1822,FRANCE,865,56.3726,13.54033333,2.163166667
1822,GERMANY,991,48.8276,9.348666667,2.195166667
1822,POLAND,248,47.5103,8.616833332999999,2.193833333
1822,UNITED KINGDOM,12151,48.4334,9.129666667,2.036833333
1822,UNITED STATES,236,47.0963,8.386833333,2.2399166669999997
1823,AUSTRIA,95,42.4769,5.8205,2.380833333
1823,CANADA,1,20.61785,-6.323416667,2.9620833330000003
1823,FRANCE,865,54.13955,12.29975,2.29225
1823,GERMANY,1101,45.6722,7.595666667000001,2.273583333
1823,POLAND,333,44.91695,7.176083332999999,2.4130833330000003
1823,UNITED KINGDOM,12793,46.03115,7.795083332999999,2.2233333330000002
1823,UNITED STATES,246,46.2398,7.9110000000000005,2.3275
1824,AUSTRIA,109,43.74785,6.526583333,2.44125
1824,CANADA,1,22.69115,-5.171583333,2.959166667
1824,FRANCE,960,55.0997,12.83316667,2.469666667
1824,GERMANY,882,47.41835,8.56575,2.448833333
1824,POLAND,348,46.90535,8.28075,2.56075
1824,UNITED KINGDOM,13396,47.47685,8.59825,2.597
1824,UNITED STATES,277,47.30405,8.50225,2.5085
1825,AUSTRIA,110,43.81685,6.564916667,2.298083333
1825,CANADA,1,22.7273,-5.1515,3.015583333
1825,FRANCE,1080,55.63535,13.13075,2.26625
1825,GERMANY,1184,47.68055,8.711416667,2.241166667
1825,POLAND,362,45.9821,7.767833333,2.363833333
1825,UNITED KINGDOM,13535,48.1058,8.947666667,2.208166667
1825,UNITED STATES,310,48.1397,8.9665,2.338916667
1826,AUSTRIA,125,43.29785,6.276583333,2.2048333330000003
