g_m_date,g_land_avg_tempf,g_land_avg_tempc,g_land_avg_temp_uncert,g_land_max_tempf,g_land_max_tempc,g_land_max_temp_uncert,g_land_min_tempf,g_land_min_tempc,g_land_min_temp_uncert,g_land_ocean_avg_tempf,g_land_ocean_avg_tempc,g_land_ocean_avg_temp_uncert
1851-10-01,48.4196,9.122,1.058,58.9298,14.961,1.915,37.9364,3.298,1.297,59.383399999999995,15.213,0.358
1851-11-01,40.9514,4.973,0.968,46.311800000000005,7.9510000000000005,1.8330000000000002,29.579,-1.345,1.527,57.4898,14.161,0.344
1851-12-01,37.652,3.14,0.982,43.5848,6.436,1.949,26.1644,-3.242,2.843,56.5484,13.638,0.33899999999999997
1852-01-01,36.2768,2.3760000000000003,1.389,47.2532,8.474,4.24,27.041,-2.7550000000000003,1.705,55.815799999999996,13.231,0.43799999999999994
1852-02-01,36.572,2.54,1.115,47.4242,8.568999999999999,2.737,27.7934,-2.337,1.78,55.9598,13.311,0.371
1852-03-01,38.9912,3.884,0.915,48.587,9.215,2.88,27.516199999999998,-2.491,1.4709999999999999,56.7248,13.735999999999999,0.317
1852-04-01,45.4766,7.486999999999999,1.158,52.2482,11.249,1.4909999999999999,33.1646,0.6469999999999998,1.256,58.6148,14.786,0.377
1852-05-01,52.104200000000006,11.169,0.855,60.503,15.835,2.805,40.3232,4.6240000000000006,0.971,60.6182,15.899,0.298
1852-06-01,55.6952,13.164,0.636,63.96799999999999,17.759999999999994,1.925,44.069,6.705,0.6829999999999999,61.9142,16.619,0.243
1852-07-01,58.1216,14.512,0.778,64.031,17.795,2.924,45.626000000000005,7.57,1.35,62.571200000000005,16.984,0.278
1852-08-01,55.9472,13.304,0.7659999999999999,63.620599999999996,17.567,1.8119999999999998,45.3722,7.4289999999999985,1.222,61.818799999999996,16.566,0.27699999999999997
1852-09-01,52.660399999999996,11.478,0.6890000000000001,61.997000000000014,16.665000000000006,1.4069999999999998,42.3356,5.742000000000001,1.51,60.8684,16.038,0.261
1852-10-01,48.038,8.91,0.654,58.7282,14.849,1.4980000000000002,37.0634,2.813,0.963,59.32040000000001,15.178,0.25
1852-11-01,40.2674,4.593,0.693,53.616200000000006,12.009,4.373,33.3248,0.736,1.48,57.1064,13.948,0.26
1852-12-01,38.813,3.785,1.371,51.4058,10.780999999999999,3.339,30.8498,-0.6390000000000001,2.204,56.8076,13.782,0.4270000000000001
1853-01-01,35.2148,1.786,1.1079999999999999,48.14960000000001,8.972000000000003,2.461,26.927599999999998,-2.818,1.556,55.657399999999996,13.142999999999999,0.35600000000000004
1853-02-01,36.010400000000004,2.228,1.492,46.922,8.29,1.535,26.2166,-3.213,1.7830000000000001,56.0516,13.362,0.457
1853-03-01,39.3404,4.078,0.9179999999999999,50.585,10.325,2.294,28.461199999999998,-1.966,1.494,57.2594,14.033,0.306
1853-04-01,45.5738,7.540999999999999,0.8240000000000001,56.696,13.72,2.69,34.979,1.6549999999999998,1.15,58.854200000000006,14.919,0.28300000000000003
1853-05-01,51.754999999999995,10.975,0.743,61.777400000000014,16.543000000000006,3.36,39.8552,4.364000000000001,0.782,60.4274,15.793,0.261
1853-06-01,56.138000000000005,13.41,0.674,65.4998,18.611,1.124,44.4992,6.944000000000001,1.4180000000000001,61.619,16.455000000000002,0.24
1853-07-01,58.361000000000004,14.645,0.659,66.06139999999999,18.923,2.0580000000000003,44.4794,6.933,1.195,62.598200000000006,16.999000000000002,0.23800000000000002
1853-08-01,57.1154,13.953,0.723,66.7544,19.308,1.2,45.0914,7.273,0.879,62.220200000000006,16.789,0.25
1853-09-01,53.078,11.71,0.7490000000000001,63.843800000000016,17.691000000000006,1.847,42.4022,5.779,0.9279999999999999,60.6956,15.942,0.259
1853-10-01,47.363,8.535,0.546,58.5626,14.757,2.451,35.33,1.85,2.2769999999999997,58.7732,14.874,0.21100000000000002
1853-11-01,40.6094,4.783,0.868,52.2842,11.269,2.15,31.8632,-0.07599999999999996,1.2770000000000001,56.8922,13.829,0.29
1853-12-01,37.1444,2.858,0.716,46.814,8.23,1.9709999999999999,24.773,-4.015,1.528,55.983200000000004,13.324000000000002,0.255
1854-01-01,34.3058,1.281,0.977,47.8148,8.786,2.589,25.6064,-3.5520000000000005,1.3619999999999999,55.3694,12.982999999999999,0.313
1854-02-01,35.4938,1.9409999999999998,1.08,47.3144,8.508,1.8630000000000002,24.6038,-4.109,1.4669999999999999,55.8464,13.248,0.342
1854-03-01,40.4564,4.698,0.789,50.8442,10.469,2.1069999999999998,29.4566,-1.413,1.517,57.360200000000006,14.089,0.267
1854-04-01,45.7196,7.622000000000001,0.674,56.123599999999996,13.402,2.16,33.0188,0.5659999999999998,1.25,58.900999999999996,14.945,0.242
1854-05-01,51.971000000000004,11.095,0.638,62.1464,16.748,1.5130000000000001,39.5312,4.184,1.306,60.4274,15.793,0.233
1854-06-01,55.092200000000005,12.829,0.5329999999999999,64.7384,18.188,0.9640000000000001,43.6874,6.4929999999999986,0.902,61.3148,16.285999999999998,0.20600000000000002
1854-07-01,58.4456,14.692,0.85,68.76679999999999,20.426,1.8530000000000002,46.202,7.89,0.912,62.19500000000001,16.775000000000002,0.282
1854-08-01,57.0002,13.889,0.898,66.72380000000001,19.291,1.36,45.145399999999995,7.302999999999999,1.021,62.0726,16.707,0.28800000000000003
1854-09-01,52.7252,11.514,0.552,63.24260000000001,17.357000000000006,1.1420000000000001,41.9972,5.5539999999999985,1.22,60.9764,16.098,0.21
1854-10-01,49.5734,9.763,0.9640000000000001,59.6138,15.341,1.3119999999999998,37.4594,3.033,1.229,59.680400000000006,15.378,0.309
1854-11-01,42.341,5.745,0.7859999999999999,51.2726,10.707,1.954,29.4692,-1.406,1.635,57.4214,14.123,0.261
1854-12-01,38.2226,3.457,1.167,47.3108,8.506,2.583,25.8854,-3.397,2.463,56.2406,13.467,0.364
1855-01-01,36.5396,2.522,1.465,46.796,8.219999999999999,1.099,26.375,-3.125,1.699,56.0912,13.384,0.442
1855-02-01,37.367599999999996,2.9819999999999998,1.3219999999999998,45.687200000000004,7.604,3.083,23.095399999999998,-4.947,2.343,56.5628,13.646,0.402
1855-03-01,40.3106,4.617,0.898,50.288,10.16,1.69,28.643,-1.865,1.338,57.509600000000006,14.172,0.294
1855-04-01,47.444,8.58,1.034,56.6762,13.709,1.024,34.0538,1.1409999999999998,1.06,59.336600000000004,15.187,0.32799999999999996
1855-05-01,52.1348,11.186,0.799,62.186,16.77,0.6509999999999999,39.714800000000004,4.2860000000000005,0.866,60.4796,15.822,0.267
1855-06-01,55.3712,12.984000000000002,0.79,63.7556,17.642,1.197,43.656800000000004,6.476,1.2309999999999999,61.601,16.445,0.264
1855-07-01,57.0668,13.925999999999998,0.635,65.2406,18.467,0.784,45.8438,7.691,0.703,62.015,16.675,0.225
1855-08-01,56.384600000000006,13.547,0.601,66.2216,19.012,0.9570000000000001,44.4758,6.930999999999999,1.345,62.033,16.685000000000002,0.214
1855-09-01,52.053799999999995,11.140999999999998,0.638,62.74040000000001,17.078000000000007,0.741,41.8982,5.499,1.531,60.4922,15.829,0.226
1855-10-01,47.1992,8.443999999999999,0.778,57.668,14.26,2.029,36.1706,2.3169999999999997,2.929,59.135,15.075,0.264
1855-11-01,41.3348,5.186,0.69,52.010600000000004,11.117,1.1179999999999999,31.069399999999998,-0.5170000000000001,2.963,57.412400000000005,14.118,0.24600000000000002
1855-12-01,35.9852,2.214,0.996,46.1822,7.879,1.604,25.784599999999998,-3.4530000000000003,1.8559999999999999,55.787,13.215,0.322
1856-01-01,36.968,2.76,0.752,45.136399999999995,7.297999999999999,2.331,25.2914,-3.727,2.795,56.0624,13.368,0.261
1856-02-01,36.0068,2.226,0.953,46.9292,8.294,2.1109999999999998,25.3778,-3.679,3.428,55.9598,13.311,0.306
1856-03-01,39.8696,4.372,0.735,50.5886,10.327,2.441,27.9662,-2.241,2.56,57.122600000000006,13.957,0.252
1856-04-01,45.9518,7.750999999999999,0.57,57.89660000000001,14.387,1.399,34.2356,1.242,1.025,58.900999999999996,14.945,0.217
1856-05-01,50.954,10.53,0.915,62.0672,16.704,2.209,39.101,3.945,0.8809999999999999,60.4634,15.813,0.29600000000000004
1856-06-01,56.2928,13.495999999999999,0.778,64.9868,18.326,1.2429999999999999,44.3822,6.879,1.083,61.6856,16.492,0.264
1856-07-01,57.2342,14.019,0.42200000000000004,65.0282,18.349,1.4709999999999999,44.663,7.035,0.6779999999999999,62.015,16.675,0.185
1856-08-01,55.4378,13.021,0.866,65.09479999999999,18.386,1.284,44.1806,6.767,1.754,61.502,16.39,0.285
1856-09-01,51.7064,10.948,0.884,62.978,17.21,1.294,40.7552,4.864,1.222,60.1538,15.640999999999998,0.289
1856-10-01,46.5566,8.087,0.759,57.430400000000006,14.128,1.9169999999999998,35.5622,1.979,2.153,58.6094,14.783,0.256
1856-11-01,41.648,5.36,0.5770000000000001,50.6282,10.349,1.4769999999999999,29.4206,-1.433,1.484,56.940799999999996,13.856,0.21100000000000002
1856-12-01,38.0858,3.381,0.9179999999999999,46.193,7.885,2.4019999999999997,26.006,-3.33,2.279,55.9778,13.321,0.3
1857-01-01,35.2778,1.821,0.924,43.955600000000004,6.642,4.164,22.267400000000002,-5.407,3.498,55.349599999999995,12.972,0.3
1857-02-01,36.4658,2.481,0.885,49.2836,9.602,2.59,28.544,-1.92,1.912,56.093,13.385000000000002,0.29
1857-03-01,39.7616,4.312,0.8440000000000001,50.36,10.2,2.0469999999999997,30.0722,-1.0710000000000002,2.391,57.0488,13.916,0.278
1857-04-01,44.2886,6.826999999999999,0.5429999999999999,55.592600000000004,13.107,1.864,33.584,0.8799999999999999,1.1059999999999999,58.065799999999996,14.481,0.212
1857-05-01,49.793,9.885,0.6809999999999999,60.08,15.6,1.975,38.5502,3.639,0.7390000000000001,59.5022,15.279000000000002,0.24100000000000002
1857-06-01,54.699799999999996,12.610999999999999,0.7979999999999999,63.2696,17.372,2.106,42.5282,5.849,0.736,61.115,16.175,0.267
1857-07-01,57.1154,13.953,0.792,65.69059999999999,18.717,1.48,45.3884,7.438,1.3519999999999999,61.660399999999996,16.477999999999998,0.266
1857-08-01,55.7654,13.203,0.795,64.7492,18.194000000000006,1.1640000000000001,44.596399999999996,6.9979999999999976,0.927,61.6262,16.459,0.266
1857-09-01,51.900800000000004,11.056,0.672,63.00140000000001,17.223000000000006,1.133,41.2628,5.146,1.4669999999999999,60.512,15.84,0.24100000000000002
1857-10-01,46.7564,8.198,0.726,58.2044,14.558,2.017,37.1858,2.881,1.5830000000000002,58.8524,14.918,0.255
1857-11-01,41.424800000000005,5.2360000000000015,0.636,50.9486,10.527,3.003,30.911,-0.605,1.579,56.8922,13.829,0.24100000000000002
1857-12-01,38.327,3.515,0.7170000000000001,49.116200000000006,9.509,2.6069999999999998,29.2172,-1.546,1.804,56.0606,13.367,0.26
